,model,ndcg,metric,hybrid
0,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
1,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
2,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
3,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
4,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
5,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
6,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
7,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
8,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
9,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
10,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
11,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
12,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
13,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
14,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
15,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
16,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
17,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
18,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
19,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
20,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
21,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
22,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
23,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
24,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
25,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
26,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
27,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,cosine,yes
28,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,ip,yes
29,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,l2,yes
30,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
31,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
32,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
33,sentence-transformers/all-MiniLM-L6-v2,0.4391764551026448,cosine,yes
34,sentence-transformers/all-MiniLM-L6-v2,0.4391764551026448,ip,yes
35,sentence-transformers/all-MiniLM-L6-v2,0.4391764551026448,l2,yes
36,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
37,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
38,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
39,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
40,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
41,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
42,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
43,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
44,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
45,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
46,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
47,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
48,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
49,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
50,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
51,sentence-transformers/all-MiniLM-L6-v2,0.52053543721495,cosine,yes
52,sentence-transformers/all-MiniLM-L6-v2,0.52053543721495,ip,yes
53,sentence-transformers/all-MiniLM-L6-v2,0.52053543721495,l2,yes
54,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
55,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
56,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
57,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,cosine,yes
58,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,ip,yes
59,sentence-transformers/all-MiniLM-L6-v2,0.7103099178571524,l2,yes
60,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
61,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
62,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
63,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
64,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
65,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
66,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,cosine,yes
67,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,ip,yes
68,sentence-transformers/all-MiniLM-L6-v2,0.6309297535714573,l2,yes
69,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
70,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
71,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
72,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
73,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
74,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
75,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
76,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
77,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
78,sentence-transformers/all-MiniLM-L6-v2,0.6404015779112125,cosine,yes
79,sentence-transformers/all-MiniLM-L6-v2,0.6404015779112125,ip,yes
80,sentence-transformers/all-MiniLM-L6-v2,0.6404015779112125,l2,yes
81,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
82,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
83,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
84,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
85,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
86,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
87,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
88,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
89,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
90,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
91,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
92,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
93,sentence-transformers/all-MiniLM-L6-v2,0.5896918237758784,cosine,yes
94,sentence-transformers/all-MiniLM-L6-v2,0.5896918237758784,ip,yes
95,sentence-transformers/all-MiniLM-L6-v2,0.5896918237758784,l2,yes
96,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
97,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
98,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
99,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
100,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
101,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
102,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
103,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
104,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
105,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
106,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
107,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
108,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
109,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
110,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
111,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
112,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
113,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
114,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
115,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
116,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
117,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
118,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
119,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
120,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
121,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
122,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
123,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
124,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
125,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
126,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
127,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
128,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
129,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
130,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
131,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
132,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
133,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
134,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
135,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
136,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
137,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
138,sentence-transformers/all-MiniLM-L6-v2,0.5896918237758784,cosine,yes
139,sentence-transformers/all-MiniLM-L6-v2,0.5896918237758784,ip,yes
140,sentence-transformers/all-MiniLM-L6-v2,0.5896918237758784,l2,yes
141,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
142,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
143,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
144,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
145,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
146,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
147,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
148,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
149,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
150,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,cosine,yes
151,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,ip,yes
152,sentence-transformers/all-MiniLM-L6-v2,0.8154648767857287,l2,yes
153,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
154,sentence-transformers/all-MiniLM-L6-v2,1.0,ip,yes
155,sentence-transformers/all-MiniLM-L6-v2,1.0,l2,yes
156,sentence-transformers/all-MiniLM-L6-v2,0.0,cosine,yes
157,sentence-transformers/all-MiniLM-L6-v2,0.0,ip,yes
158,sentence-transformers/all-MiniLM-L6-v2,0.0,l2,yes
159,sentence-transformers/all-MiniLM-L6-v2,1.0,cosine,yes
